Classes,k = 1 ,k = 2,k = 3,k = 4
above,0.6480414746543779,0.761520737327189,0.8663594470046083,0.907258064516129
at,0.0,0.0,0.0525328330206379,0.24765478424015008
behind,0.1213527851458886,0.5046419098143236,0.7592838196286472,0.8554376657824934
below,0.0,0.6241721854304636,0.7549668874172185,0.7897350993377483
beside,0.0,0.0,0.010438413361169102,0.13778705636743216
by,0.0,0.0,0.0,0.0
front,0.14433962264150943,0.33867924528301885,0.6226415094339622,0.7235849056603774
in,0.55584,0.8304,0.86496,0.91136
left,0.14487632508833923,0.4169611307420495,0.49823321554770317,0.6289752650176679
near,0.0,0.05710955710955711,0.3578088578088578,0.5291375291375291
next,0.5020080321285141,0.5910307898259706,0.6700133868808568,0.785140562248996
on,0.8794076163610719,0.9099670897978374,0.9325340855665256,0.9459332393041843
over,0.0,0.22025316455696203,0.5037974683544304,0.5924050632911393
right,0.10245901639344263,0.3237704918032787,0.4426229508196721,0.5819672131147541
top,0.0,0.0,0.0,0.005128205128205128
under,0.6035328753680078,0.7703631010794897,0.8184494602551521,0.8645731108930323
Micro AVG,0.231366109236322,0.3968043376731337,0.5096651459437151,0.5941298602524899
