Classes,k = 1 ,k = 2,k = 3,k = 4
above,0.6488198042602188,0.7708693149107657,0.8796776050662061,0.9119170984455959
at,0.0,0.0,0.018726591760299626,0.23595505617977527
behind,0.18911745189117452,0.5136031851360319,0.7378898473788985,0.8506967485069675
below,0.024834437086092714,0.5811258278145696,0.6986754966887417,0.7566225165562914
beside,0.0,0.0,0.029227557411273485,0.15657620041753653
by,0.0,0.0,0.0,0.0
front,0.12936732766761094,0.3276676109537299,0.6288951841359773,0.7006610009442871
in,0.5568,0.82944,0.86784,0.9088
left,0.09540636042402827,0.3498233215547703,0.5335689045936396,0.657243816254417
near,0.0,0.07575757575757576,0.34498834498834496,0.548951048951049
next,0.48460508701472554,0.5796519410977242,0.6753681392235609,0.7791164658634538
on,0.8697696285848613,0.9038551951104843,0.927127409496944,0.9438175834508697
over,0.0,0.27341772151898736,0.5037974683544304,0.5746835443037974
right,0.1728395061728395,0.3868312757201646,0.4897119341563786,0.5802469135802469
top,0.0,0.0,0.0,0.07614213197969544
under,0.5870206489675516,0.7522123893805309,0.8220255653883972,0.8741396263520157
Micro AVG,0.23491126575431895,0.39651595993470834,0.5098450030401934,0.5972231094866249
