Classes,k = 1 ,k = 2,k = 3,k = 4
above,0.5881336405529954,0.7091013824884793,0.8289170506912442,0.8922811059907834
at,0.0,0.01876172607879925,0.15572232645403378,0.3076923076923077
behind,0.14399469143994692,0.33974784339747843,0.5587259455872594,0.7193098871930989
below,0.12582781456953643,0.5695364238410596,0.6887417218543046,0.7301324503311258
beside,0.0,0.006263048016701462,0.033402922755741124,0.0709812108559499
by,0.0,0.0,0.0,0.0
front,0.11415094339622642,0.23018867924528302,0.4811320754716981,0.630188679245283
in,0.57472,0.89152,0.92736,0.94624
left,0.31095406360424027,0.47703180212014135,0.558303886925795,0.6289752650176679
near,0.01048951048951049,0.08857808857808858,0.2727272727272727,0.5174825174825175
next,0.34002677376171353,0.499330655957162,0.5917001338688086,0.6840696117804551
on,0.886929948283968,0.9306535025858016,0.9471086036671368,0.9588622472966619
over,0.0,0.2379746835443038,0.3392405063291139,0.44050632911392407
right,0.23770491803278687,0.48770491803278687,0.6024590163934426,0.680327868852459
top,0.0,0.0,0.010309278350515464,0.05154639175257732
under,0.5034347399411188,0.7350343473994112,0.8135426889106968,0.8694798822374877
Micro AVG,0.23977294025450274,0.3888391938303435,0.4880870893741915,0.5705047346776437
