Classes,k = 1 ,k = 2,k = 3,k = 4
above,0.6664746543778802,0.7926267281105991,0.8646313364055299,0.9205069124423964
at,0.0,0.0075046904315197,0.06566604127579738,0.18198874296435272
behind,0.23143236074270557,0.5437665782493368,0.7884615384615384,0.8740053050397878
below,0.18874172185430463,0.5645695364238411,0.7135761589403974,0.7599337748344371
beside,0.0,0.06889352818371608,0.1941544885177453,0.33611691022964507
by,0.0,0.0,0.0,0.0
front,0.18602455146364494,0.33899905571293676,0.5949008498583569,0.6978281397544853
in,0.5152,0.7936,0.84704,0.8928
left,0.1413427561837456,0.3321554770318021,0.558303886925795,0.7137809187279152
near,0.0,0.05238649592549476,0.1979045401629802,0.409778812572759
next,0.5113788487282463,0.6311914323962516,0.713520749665328,0.7911646586345381
on,0.8229901269393513,0.8923366243535495,0.9264221908791725,0.9475787494123178
over,0.0,0.2430379746835443,0.42278481012658226,0.4835443037974684
right,0.10655737704918032,0.2786885245901639,0.3483606557377049,0.4385245901639344
top,0.0,0.0,0.0,0.06153846153846154
under,0.48627450980392156,0.7549019607843137,0.8196078431372549,0.8745098039215686
Micro AVG,0.2410260566964363,0.3934161629298169,0.5034584431308865,0.5864750052521293
