Classes,Accuracy,Precision,Recall,F1-Score
above,0.9128500237304225,0.7001499250374813,0.26900921658986177,0.38851913477537436
at,0.9683792121499762,0,0.0,0.0
behind,0.9111295681063123,1.0,0.005972130059721301,0.011865524060646011
below,0.9633958234456573,0.38181818181818183,0.0347682119205298,0.06363636363636363
beside,0.9715828191741813,0,0.0,0.0
by,0.9843379212149976,0,0.0,0.0
front,0.9371143806359753,0,0.0,0.0
in,0.8722116753678215,0.725499303297724,0.49984,0.5917787459746164
left,0.9833293782629331,0.5555555555555556,0.0353356890459364,0.06622516556291391
near,0.9490982439487423,0,0.0,0.0
next,0.9113075462743236,0.0,0.0,0.0
on,0.8252254390128144,0.6297104323681079,0.7463563704748472,0.6830160266752716
over,0.9765068818224965,0.0,0.0,0.0
right,0.9855244423350735,0,0.0,0.0
top,0.9884314190792596,0.0,0.0,0.0
under,0.9371143806359753,0.4259927797833935,0.11579980372914622,0.18195836545875096
MACRO AVG,0.9423461971998102,0.27617038611627776,0.10669258886375269,0.12418745788399606
Micro AVG,0.9423461971998102,0.6519941634241245,0.2970801706465732,0.4081601583314303
EXAMPLES,0.15612146021199189,0.3172905790223066,0.3103692058218635,0.31379173050050224
