Classes,Accuracy,Precision,Recall,F1-Score
above,0.9193892045454546,0.6545454545454545,0.45622119815668205,0.5374957583983713
at,0.968454071969697,0,0.0,0.0
behind,0.9094460227272727,0.4225352112676056,0.03978779840848806,0.0726832222895215
below,0.9644294507575758,0.5319148936170213,0.041390728476821195,0.07668711656441718
beside,0.9715909090909091,0,0.0,0.0
by,0.984375,0,0.0,0.0
front,0.9372632575757576,0,0.0,0.0
in,0.8758285984848485,0.8148375229920294,0.42528,0.5587555181837293
left,0.9829545454545454,0.4074074074074074,0.038869257950530034,0.0707395498392283
near,0.94921875,0,0.0,0.0
next,0.9106297348484849,0.42592592592592593,0.030789825970548863,0.05739238927011853
on,0.8274147727272727,0.6275257338924896,0.7738598965679361,0.6929796863488054
over,0.9763849431818182,0.0,0.0,0.0
right,0.9855587121212122,0,0.0,0.0
top,0.9884588068181818,0,0.0,0.0
under,0.939157196969697,0.4636363636363636,0.05,0.09018567639257294
MACRO AVG,0.9431596235795455,0.27177053208026863,0.1160124190956879,0.13480743233042278
Micro AVG,0.9431596235795454,0.6575953079178886,0.3105301057995901,0.42183678844200306
EXAMPLES,0.16295868844696995,0.33102509469696967,0.323858704229798,0.3274026885740534
