Classes,k = 1 ,k = 2,k = 3,k = 4
above,0.6105990783410138,0.7816820276497696,0.8940092165898618,0.9354838709677419
at,0.001876172607879925,0.0300187617260788,0.11632270168855535,0.2682926829268293
behind,0.19363395225464192,0.41843501326259946,0.6253315649867374,0.8110079575596817
below,0.13079470198675497,0.6009933774834437,0.7119205298013245,0.7549668874172185
beside,0.0,0.08541666666666667,0.17083333333333334,0.2791666666666667
by,0.0,0.0,0.0,0.0
front,0.14528301886792452,0.2839622641509434,0.560377358490566,0.7066037735849057
in,0.5488,0.83616,0.88352,0.91776
left,0.26148409893992935,0.38515901060070673,0.519434628975265,0.6360424028268551
near,0.017482517482517484,0.15384615384615385,0.36013986013986016,0.5209790209790209
next,0.42168674698795183,0.5140562248995983,0.5957161981258366,0.6713520749665328
on,0.8789374706158909,0.923836389280677,0.9412317818523742,0.9569816643159379
over,0.0,0.31139240506329113,0.4481012658227848,0.529113924050633
right,0.14754098360655737,0.25,0.36065573770491804,0.48360655737704916
top,0.0,0.0,0.020512820512820513,0.11794871794871795
under,0.49117647058823527,0.6676470588235294,0.7901960784313725,0.8539215686274509
Micro AVG,0.2405809507674561,0.3901628345908411,0.4998939422784756,0.5902017356384526
