Classes,k = 1 ,k = 2,k = 3,k = 4
above,0.6347926267281107,0.777073732718894,0.8911290322580645,0.9233870967741935
at,0.0,0.028089887640449437,0.12734082397003746,0.2565543071161049
behind,0.15583554376657824,0.4078249336870027,0.6432360742705571,0.7858090185676393
below,0.041390728476821195,0.5463576158940397,0.6440397350993378,0.7036423841059603
beside,0.0,0.037578288100208766,0.1315240083507307,0.2609603340292276
by,0.0,0.0,0.0,0.015151515151515152
front,0.08396226415094339,0.25660377358490566,0.5188679245283019,0.6688679245283019
in,0.5888,0.8624,0.90656,0.93344
left,0.19148936170212766,0.3333333333333333,0.4716312056737589,0.6134751773049646
near,0.01629802095459837,0.1350407450523865,0.2759022118742724,0.47264260768335276
next,0.43010033444816054,0.539799331103679,0.6334448160535117,0.7190635451505016
on,0.884579219558063,0.9379407616361072,0.9541607898448519,0.9654442877291961
over,0.0,0.2582278481012658,0.35443037974683544,0.4962025316455696
right,0.21074380165289255,0.4214876033057851,0.512396694214876,0.5826446280991735
top,0.0,0.0,0.005128205128205128,0.1076923076923077
under,0.5019646365422397,0.6728880157170923,0.7858546168958742,0.8418467583497053
Micro AVG,0.23374728362378344,0.3884153668671968,0.4909779073693259,0.5841765264954821
