Classes,Accuracy,Precision,Recall,F1-Score
above,0.9177226485811173,0.7013729977116705,0.35331412103746396,0.4697318007662835
at,0.9682313046582188,0.0,0.0,0.0
behind,0.9104051401035159,0.6666666666666666,0.002652519893899204,0.005280528052805281
below,0.9622821107739902,0.27941176470588236,0.03145695364238411,0.05646359583952452
beside,0.9715033612945446,0,0.0,0.0
by,0.9842941281456362,0,0.0,0.0
front,0.9368195609494914,0.0,0.0,0.0
in,0.8738175977155096,0.7418111753371869,0.4928,0.592079969242599
left,0.9824498780415254,0.38461538461538464,0.0706713780918728,0.11904761904761904
near,0.9489559164733179,0,0.0,0.0
next,0.910821583675412,0.14285714285714285,0.0006693440428380187,0.0013315579227696406
on,0.8244987804152537,0.6464374016632951,0.6762285445567835,0.6609215213144892
over,0.9765006841572967,0.0,0.0,0.0
right,0.9854244749836397,0.42857142857142855,0.012295081967213115,0.023809523809523808
top,0.9882800880480694,0.0,0.0,0.0
under,0.9387827949312868,0.44680851063829785,0.04121687929342493,0.07540394973070018
MACRO AVG,0.9425493783092392,0.2774095295479347,0.10508155140786749,0.12525437910789464
Micro AVG,0.9425493783092391,0.6698952879581151,0.2835928409153876,0.39847399563998753
EXAMPLES,0.14969460804727638,0.3040533840997878,0.29735062565689013,0.3006646531397282
