Classes,k = 1 ,k = 2,k = 3,k = 4
above,0.6685878962536023,0.7752161383285303,0.8749279538904899,0.9210374639769452
at,0.0,0.0,0.0300187617260788,0.22138836772983114
behind,0.1512939615129396,0.48971466489714666,0.7199734571997346,0.836098208360982
below,0.039735099337748346,0.5463576158940397,0.6937086092715232,0.7516556291390728
beside,0.0,0.0,0.0041753653444676405,0.1440501043841336
by,0.0,0.0,0.0,0.0
front,0.12735849056603774,0.3292452830188679,0.6311320754716981,0.7396226415094339
in,0.56512,0.83328,0.86656,0.91072
left,0.15602836879432624,0.5425531914893617,0.599290780141844,0.6879432624113475
near,0.0,0.04428904428904429,0.3041958041958042,0.5046620046620046
next,0.49732262382864795,0.6017402945113789,0.6733601070950469,0.7617135207496654
on,0.8824359275805314,0.9165295085821773,0.9379261697625205,0.951093345873501
over,0.0,0.28607594936708863,0.4962025316455696,0.5721518987341773
right,0.09465020576131687,0.40329218106995884,0.5390946502057613,0.6419753086419753
top,0.0,0.0,0.0,0.03571428571428571
under,0.5760549558390579,0.774288518155054,0.8321884200196271,0.8684985279685966
Micro AVG,0.234911720592138,0.40891139935016546,0.5126721678731354,0.5967702856159969
