Classes,k = 1 ,k = 2,k = 3,k = 4
above,0.679147465437788,0.7632488479262672,0.8508064516129032,0.9066820276497696
at,0.0,0.0,0.0150093808630394,0.225140712945591
behind,0.133289124668435,0.5185676392572944,0.7758620689655172,0.863395225464191
below,0.004966887417218543,0.5877483443708609,0.7268211920529801,0.7715231788079471
beside,0.0,0.0,0.0020876826722338203,0.14613778705636743
by,0.0,0.0,0.0,0.0
front,0.14636449480642116,0.33994334277620397,0.6298394711992445,0.7252124645892352
in,0.53504,0.83296,0.86688,0.9072
left,0.13074204946996468,0.46996466431095407,0.6183745583038869,0.6819787985865724
near,0.0,0.04540162980209546,0.3329452852153667,0.5203725261932479
next,0.5147255689424364,0.5950468540829986,0.6713520749665328,0.7744310575635877
on,0.8669487541137753,0.9010343206393983,0.9254818993888105,0.9442877291960508
over,0.0,0.26329113924050634,0.4810126582278481,0.5746835443037974
right,0.11065573770491803,0.3975409836065574,0.5163934426229508,0.6557377049180327
top,0.0,0.0,0.0,0.035897435897435895
under,0.5970588235294118,0.7754901960784314,0.8382352941176471,0.8803921568627451
Micro AVG,0.23243368163064804,0.405639872630723,0.5156938412630601,0.6008170218771608
