Classes,k = 1 ,k = 2,k = 3,k = 4
above,0.6092219020172911,0.7181556195965418,0.8242074927953891,0.885878962536023
at,0.001876172607879925,0.013133208255159476,0.075046904315197,0.27204502814258913
behind,0.17175066312997347,0.3852785145888594,0.6206896551724138,0.7851458885941645
below,0.29304635761589404,0.5695364238410596,0.6870860927152318,0.7582781456953642
beside,0.0,0.03549060542797495,0.10647181628392484,0.2045929018789144
by,0.0,0.0,0.0,0.0
front,0.08593012275731822,0.2898961284230406,0.5146364494806421,0.6968838526912181
in,0.58944,0.88256,0.91584,0.94784
left,0.29328621908127206,0.3745583038869258,0.4452296819787986,0.5335689045936396
near,0.0011655011655011655,0.05827505827505827,0.2202797202797203,0.3927738927738928
next,0.3969210174029451,0.534805890227577,0.6445783132530121,0.7329317269076305
on,0.8450505525511404,0.9207618151892781,0.9407477075005878,0.9583823183635081
over,0.0,0.2563451776649746,0.34517766497461927,0.43147208121827413
right,0.14344262295081966,0.27049180327868855,0.3524590163934426,0.45901639344262296
top,0.0,0.0,0.015384615384615385,0.05641025641025641
under,0.3631010794896958,0.6015701668302257,0.7576054955839058,0.8155053974484789
Micro AVG,0.23713951317310816,0.3694286697178353,0.4665900391319687,0.5581703594185361
