Classes,k = 1 ,k = 2,k = 3,k = 4
above,0.6169354838709677,0.7476958525345622,0.8554147465437788,0.9101382488479263
at,0.0,0.01125703564727955,0.08630393996247655,0.22326454033771106
behind,0.2183145321831453,0.5547445255474452,0.7206370272063702,0.8175182481751825
below,0.22185430463576158,0.6192052980132451,0.7135761589403974,0.7599337748344371
beside,0.0,0.010438413361169102,0.06680584551148225,0.21711899791231734
by,0.0,0.0,0.0,0.007575757575757576
front,0.09056603773584905,0.2641509433962264,0.5047169811320755,0.6528301886792452
in,0.56672,0.79424,0.84928,0.904
left,0.16607773851590105,0.4664310954063604,0.607773851590106,0.7067137809187279
near,0.004662004662004662,0.10955710955710955,0.30536130536130535,0.5303030303030303
next,0.4785809906291834,0.5823293172690763,0.6840696117804551,0.7811244979919679
on,0.8568406205923836,0.9069111424541608,0.9318288669487541,0.9478138222849083
over,0.0,0.23544303797468355,0.42025316455696204,0.4936708860759494
right,0.24180327868852458,0.5122950819672131,0.6311475409836066,0.7049180327868853
top,0.0,0.0,0.0,0.03608247422680412
under,0.49607843137254903,0.7450980392156863,0.8225490196078431,0.8627450980392157
Micro AVG,0.2474020889303919,0.4099873057715136,0.5124823787578509,0.5972344611868792
