Classes,k = 1 ,k = 2,k = 3,k = 4
above,0.6192396313364056,0.7039170506912442,0.8317972350230415,0.8922811059907834
at,0.0,0.009380863039399626,0.1275797373358349,0.275797373358349
behind,0.14389920424403183,0.3925729442970822,0.5623342175066313,0.736737400530504
below,0.20364238410596028,0.6175496688741722,0.7235099337748344,0.7864238410596026
beside,0.0,0.03549060542797495,0.09603340292275574,0.1941544885177453
by,0.0,0.0,0.0,0.0
front,0.19245283018867926,0.33584905660377357,0.5415094339622641,0.7037735849056603
in,0.568,0.87584,0.91168,0.93152
left,0.14840989399293286,0.2791519434628975,0.3992932862190813,0.5159010600706714
near,0.033760186263096625,0.15133876600698487,0.320139697322468,0.47846332945285214
next,0.4109772423025435,0.5281124497991968,0.6398929049531459,0.7362784471218207
on,0.8704748472026328,0.9273624823695346,0.9492242595204513,0.9656793606017866
over,0.0,0.3518987341772152,0.47341772151898737,0.5316455696202531
right,0.1885245901639344,0.3360655737704918,0.4713114754098361,0.5450819672131147
top,0.0,0.0,0.005128205128205128,0.06153846153846154
under,0.3856722276741904,0.6418056918547596,0.7517173699705594,0.8243375858684985
Micro AVG,0.23531581484215042,0.3866459893984205,0.487785555035506,0.5737258484906315
