Classes,k = 1 ,k = 2,k = 3,k = 4
above,0.6555299539170507,0.7701612903225806,0.8640552995391705,0.9176267281105991
at,0.0,0.0,0.02626641651031895,0.22326454033771106
behind,0.14721485411140584,0.5311671087533156,0.7446949602122016,0.8614058355437666
below,0.0,0.6175496688741722,0.7317880794701986,0.7798013245033113
beside,0.0,0.0,0.008333333333333333,0.12708333333333333
by,0.0,0.0,0.0,0.0
front,0.11226415094339623,0.30377358490566037,0.620754716981132,0.7047169811320755
in,0.54816,0.8304,0.8704,0.91584
left,0.127208480565371,0.4028268551236749,0.5759717314487632,0.6925795053003534
near,0.0,0.07459207459207459,0.3041958041958042,0.5116550116550117
next,0.4859437751004016,0.5863453815261044,0.6566265060240963,0.7523427041499331
on,0.886929948283968,0.92054536906441,0.9395862717442407,0.9560413728255759
over,0.0,0.24556962025316456,0.5063291139240507,0.5772151898734177
right,0.09016393442622951,0.32786885245901637,0.4918032786885246,0.6188524590163934
top,0.0,0.0,0.0,0.015384615384615385
under,0.5696078431372549,0.7225490196078431,0.7803921568627451,0.8470588235294118
Micro AVG,0.22643893378031738,0.3958343015926261,0.5075748543084113,0.5938042765434692
