Classes,k = 1 ,k = 2,k = 3,k = 4
above,0.6457373271889401,0.7517281105990783,0.8485023041474654,0.896889400921659
at,0.0,0.0,0.03189493433395872,0.23076923076923078
behind,0.1333775713337757,0.48971466489714666,0.7292634372926343,0.8500331785003318
below,0.009933774834437087,0.6043046357615894,0.7301324503311258,0.7764900662251656
beside,0.0,0.0,0.006263048016701462,0.17118997912317327
by,0.0,0.0,0.0,0.0
front,0.12264150943396226,0.30943396226415093,0.5962264150943396,0.6735849056603773
in,0.5504,0.83328,0.86432,0.90976
left,0.053003533568904596,0.392226148409894,0.558303886925795,0.6431095406360424
near,0.0,0.08158508158508158,0.3006993006993007,0.4976689976689977
next,0.47657295850066933,0.5742971887550201,0.6646586345381527,0.7730923694779116
on,0.8777621062529384,0.9120827456511519,0.9334743770568876,0.9466384579219558
over,0.0,0.2683544303797468,0.46835443037974683,0.5316455696202531
right,0.11885245901639344,0.44672131147540983,0.5081967213114754,0.6229508196721312
top,0.0,0.0,0.0,0.03608247422680412
under,0.5803921568627451,0.753921568627451,0.8205882352941176,0.8764705882352941
Micro AVG,0.22304208731204786,0.40110311552535755,0.5038048859638563,0.589773473666208
Classes,k = 1 ,k = 2,k = 3,k = 4
above,0.6169354838709677,0.7476958525345622,0.8554147465437788,0.9101382488479263
at,0.0,0.01125703564727955,0.08630393996247655,0.22326454033771106
behind,0.2183145321831453,0.5547445255474452,0.7206370272063702,0.8175182481751825
below,0.22185430463576158,0.6192052980132451,0.7135761589403974,0.7599337748344371
beside,0.0,0.010438413361169102,0.06680584551148225,0.21711899791231734
by,0.0,0.0,0.0,0.007575757575757576
front,0.09056603773584905,0.2641509433962264,0.5047169811320755,0.6528301886792452
in,0.56672,0.79424,0.84928,0.904
left,0.16607773851590105,0.4664310954063604,0.607773851590106,0.7067137809187279
near,0.004662004662004662,0.10955710955710955,0.30536130536130535,0.5303030303030303
next,0.4785809906291834,0.5823293172690763,0.6840696117804551,0.7811244979919679
on,0.8568406205923836,0.9069111424541608,0.9318288669487541,0.9478138222849083
over,0.0,0.23544303797468355,0.42025316455696204,0.4936708860759494
right,0.24180327868852458,0.5122950819672131,0.6311475409836066,0.7049180327868853
top,0.0,0.0,0.0,0.03608247422680412
under,0.49607843137254903,0.7450980392156863,0.8225490196078431,0.8627450980392157
Micro AVG,0.2474020889303919,0.4099873057715136,0.5124823787578509,0.5972344611868792
Classes,k = 1 ,k = 2,k = 3,k = 4
above,0.6411290322580645,0.7534562211981567,0.841589861751152,0.8980414746543779
at,0.0,0.0,0.043151969981238276,0.2570356472795497
behind,0.1738553417385534,0.5149303251493033,0.7445255474452555,0.8380889183808892
below,0.02152317880794702,0.5877483443708609,0.7400662251655629,0.7814569536423841
beside,0.0,0.0,0.029227557411273485,0.18789144050104384
by,0.0,0.0,0.0,0.0
front,0.12075471698113208,0.32358490566037734,0.6103773584905661,0.6839622641509434
in,0.55968,0.8384,0.86688,0.90944
left,0.07773851590106007,0.34275618374558303,0.5159010600706714,0.6466431095406361
near,0.0011655011655011655,0.10023310023310024,0.317016317016317,0.5209790209790209
next,0.4705488621151272,0.5803212851405622,0.6680053547523427,0.7831325301204819
on,0.8742360131640808,0.9106723084156089,0.9308885754583921,0.9452280206864128
over,0.0,0.26582278481012656,0.4759493670886076,0.549367088607595
right,0.14344262295081966,0.4180327868852459,0.5204918032786885,0.6311475409836066
top,0.0,0.0,0.0,0.010309278350515464
under,0.5745098039215686,0.7470588235294118,0.8107843137254902,0.8686274509803922
Micro AVG,0.22866147431274086,0.39893856682114603,0.5071784569772224,0.5944594211786156
