Classes,k = 1 ,k = 2,k = 3,k = 4
above,0.6578341013824884,0.7701612903225806,0.8652073732718893,0.9095622119815668
at,0.0,0.0,0.035580524344569285,0.23220973782771537
behind,0.15053050397877984,0.5086206896551724,0.7407161803713528,0.8395225464190982
below,0.008278145695364239,0.5380794701986755,0.6837748344370861,0.7367549668874173
beside,0.0,0.0,0.006263048016701462,0.10855949895615867
by,0.0,0.0,0.0,0.0
front,0.12452830188679245,0.310377358490566,0.620754716981132,0.7179245283018868
in,0.56384,0.848,0.88032,0.91776
left,0.07446808510638298,0.35815602836879434,0.5638297872340425,0.6843971631205674
near,0.0,0.07217694994179279,0.30384167636786963,0.5261932479627474
next,0.5110367892976588,0.6140468227424749,0.6956521739130435,0.8053511705685619
on,0.884109073812882,0.9170192759755524,0.9358251057827927,0.9511048425011753
over,0.0,0.23544303797468355,0.4481012658227848,0.5316455696202531
right,0.004132231404958678,0.384297520661157,0.48760330578512395,0.5826446280991735
top,0.0,0.0,0.0,0.0
under,0.5442043222003929,0.712180746561886,0.775049115913556,0.843811394891945
Micro AVG,0.22018509717285628,0.39178494943083353,0.5026574442651215,0.5867150941961417
