Classes,k = 1 ,k = 2,k = 3,k = 4
above,0.6436384571099597,0.7725964306275187,0.8664363845710996,0.9130685089234312
at,0.0,0.00749063670411985,0.052434456928838954,0.18164794007490637
behind,0.17916390179163902,0.46648971466489714,0.6781685467816855,0.8102189781021898
below,0.13410596026490065,0.5827814569536424,0.7036423841059603,0.7615894039735099
beside,0.0,0.09603340292275574,0.19624217118997914,0.2797494780793319
by,0.0,0.003787878787878788,0.003787878787878788,0.007575757575757576
front,0.1274787535410765,0.34183191690273845,0.591123701605288,0.6685552407932012
in,0.56864,0.84672,0.88544,0.92128
left,0.16607773851590105,0.2862190812720848,0.4098939929328622,0.5335689045936396
near,0.002331002331002331,0.06293706293706294,0.2668997668997669,0.5116550116550117
next,0.42771084337349397,0.5602409638554217,0.6639892904953146,0.7603748326639893
on,0.8655383168782322,0.917724494593324,0.9388810531264692,0.9529854254818994
over,0.0,0.26329113924050634,0.36455696202531646,0.44556962025316454
right,0.11522633744855967,0.2880658436213992,0.38271604938271603,0.5061728395061729
top,0.0,0.005076142131979695,0.04568527918781726,0.1116751269035533
under,0.49852507374631266,0.6833824975417896,0.7699115044247787,0.8308751229105211
Micro AVG,0.23302727406256732,0.3865417914223199,0.4887380889028608,0.5747851369681425
