Classes,k = 1 ,k = 2,k = 3,k = 4
above,0.6680115273775216,0.7723342939481268,0.8553314121037464,0.9014409221902018
at,0.0,0.0,0.016885553470919325,0.20825515947467166
behind,0.13660477453580902,0.4973474801061008,0.7539787798408488,0.8680371352785146
below,0.07781456953642384,0.543046357615894,0.6788079470198676,0.7317880794701986
beside,0.0,0.0,0.014613778705636743,0.20041753653444677
by,0.0,0.0,0.0,0.0
front,0.10859301227573183,0.3125590179414542,0.5958451369216242,0.6770538243626062
in,0.54336,0.82976,0.87072,0.90976
left,0.13780918727915195,0.49823321554770317,0.5759717314487632,0.6607773851590106
near,0.0,0.06293706293706294,0.34382284382284384,0.5629370629370629
next,0.5254350736278447,0.6204819277108434,0.7001338688085676,0.7951807228915663
on,0.8600987538208323,0.90265694803668,0.9238184810721843,0.9398071949212321
over,0.0,0.26903553299492383,0.4796954314720812,0.5710659898477157
right,0.06557377049180328,0.32786885245901637,0.4426229508196721,0.5450819672131147
top,0.0,0.0,0.005128205128205128,0.046153846153846156
under,0.535819430814524,0.732090284592738,0.7988223748773308,0.858684985279686
Micro AVG,0.22869500623497765,0.398021935868159,0.5035124059695182,0.5922776132321171
