Classes,k = 1 ,k = 2,k = 3,k = 4
above,0.6716589861751152,0.8116359447004609,0.8778801843317973,0.9118663594470046
at,0.1726078799249531,0.3789868667917448,0.549718574108818,0.6585365853658537
behind,0.3905835543766578,0.5278514588859416,0.6187002652519894,0.6889920424403183
below,0.2764900662251656,0.6026490066225165,0.7682119205298014,0.8360927152317881
beside,0.06263048016701461,0.1419624217118998,0.2630480167014614,0.3987473903966597
by,0.06818181818181818,0.17803030303030304,0.2727272727272727,0.36742424242424243
front,0.34056603773584904,0.5330188679245284,0.6745283018867925,0.7650943396226415
in,0.68416,0.81056,0.88032,0.90944
left,0.26501766784452296,0.4098939929328622,0.5017667844522968,0.6113074204946997
near,0.09090909090909091,0.24242424242424243,0.38344988344988346,0.5116550116550117
next,0.41767068273092367,0.6097724230254351,0.714190093708166,0.8065595716198126
on,0.8006582040432534,0.9012693935119888,0.9318288669487541,0.9506346967559943
over,0.08860759493670886,0.5772151898734177,0.6911392405063291,0.7518987341772152
right,0.20081967213114754,0.3114754098360656,0.4139344262295082,0.4918032786885246
top,0.06153846153846154,0.2205128205128205,0.4205128205128205,0.6205128205128205
under,0.5309126594700687,0.7526987242394504,0.831207065750736,0.8812561334641805
Micro AVG,0.3201883035244219,0.5006223166264798,0.6120727323185267,0.6976138338935479
