Classes,k = 1 ,k = 2,k = 3,k = 4
above,0.5835253456221198,0.7511520737327189,0.8179723502304147,0.8663594470046083
at,0.10486891385767791,0.28277153558052437,0.5112359550561798,0.6198501872659176
behind,0.5258620689655172,0.6704244031830239,0.7586206896551724,0.8136604774535809
below,0.18211920529801323,0.49503311258278143,0.6771523178807947,0.7764900662251656
beside,0.04175365344467641,0.12734864300626306,0.21920668058455114,0.33402922755741127
by,0.06818181818181818,0.12121212121212122,0.20833333333333334,0.2537878787878788
front,0.23867924528301887,0.42452830188679247,0.5528301886792453,0.6632075471698113
in,0.7104,0.81792,0.87872,0.91456
left,0.1773049645390071,0.3333333333333333,0.4432624113475177,0.5638297872340425
near,0.10710128055878929,0.25145518044237486,0.389988358556461,0.5576251455180442
next,0.42006688963210703,0.6247491638795987,0.7331103678929766,0.808695652173913
on,0.7268453220498354,0.8514339445228021,0.8928067700987306,0.9231311706629055
over,0.17721518987341772,0.49873417721518987,0.6506329113924051,0.7367088607594937
right,0.256198347107438,0.4297520661157025,0.5495867768595041,0.6487603305785123
top,0.11282051282051282,0.28717948717948716,0.4717948717948718,0.6205128205128205
under,0.6365422396856582,0.8192534381139489,0.8909626719056974,0.918467583497053
Micro AVG,0.31684281230747546,0.4866425613741664,0.6028885409542409,0.6887297614000725
