Classes,k = 1 ,k = 2,k = 3,k = 4
above,0.6048387096774194,0.7736175115207373,0.8600230414746544,0.9043778801843319
at,0.15196998123827393,0.4090056285178236,0.5797373358348968,0.6791744840525328
behind,0.48307896483078966,0.6118115461181155,0.7126741871267419,0.7757133377571334
below,0.1357615894039735,0.3675496688741722,0.5943708609271523,0.695364238410596
beside,0.0709812108559499,0.18580375782881003,0.2881002087682672,0.4175365344467641
by,0.05303030303030303,0.13257575757575757,0.1893939393939394,0.24242424242424243
front,0.2339622641509434,0.37641509433962267,0.45660377358490567,0.5528301886792453
in,0.73632,0.85472,0.89888,0.92512
left,0.1978798586572438,0.29328621908127206,0.40636042402826855,0.508833922261484
near,0.08391608391608392,0.23892773892773891,0.3927738927738928,0.5361305361305362
next,0.34605087014725566,0.5595716198125836,0.6921017402945113,0.7771084337349398
on,0.8006582040432534,0.9045604137282558,0.9391161259990597,0.9590973201692524
over,0.11392405063291139,0.5772151898734177,0.6987341772151898,0.7873417721518987
right,0.2786885245901639,0.44672131147540983,0.5983606557377049,0.680327868852459
top,0.06701030927835051,0.31958762886597936,0.4948453608247423,0.6649484536082474
under,0.6398429833169774,0.7988223748773308,0.8616290480863592,0.8959764474975466
Micro AVG,0.31236961923561823,0.49063696633856413,0.6039815482543929,0.6876441037725756
