Classes,k = 1 ,k = 2,k = 3,k = 4
above,0.6411290322580645,0.8191244239631337,0.8974654377880185,0.9256912442396313
at,0.1200750469043152,0.3302063789868668,0.49343339587242024,0.5947467166979362
behind,0.4953580901856764,0.6578249336870027,0.7400530503978779,0.8037135278514589
below,0.2582781456953642,0.5016556291390728,0.6788079470198676,0.7715231788079471
beside,0.07724425887265135,0.16701461377870563,0.2839248434237996,0.40083507306889354
by,0.05303030303030303,0.08333333333333333,0.14393939393939395,0.25757575757575757
front,0.38243626062322944,0.5514636449480642,0.6487252124645893,0.7223796033994334
in,0.71488,0.8304,0.89792,0.93504
left,0.17314487632508835,0.31448763250883394,0.4028268551236749,0.5017667844522968
near,0.10244470314318975,0.2479627473806752,0.43771827706635624,0.5750873108265425
next,0.2744310575635877,0.46117804551539493,0.5896921017402945,0.6726907630522089
on,0.7879642689233662,0.891631405735778,0.9268923366243536,0.9473436765397273
over,0.12658227848101267,0.5164556962025316,0.6759493670886076,0.7544303797468355
right,0.19262295081967212,0.27459016393442626,0.3729508196721312,0.46311475409836067
top,0.06666666666666667,0.22564102564102564,0.4307692307692308,0.6666666666666666
under,0.5274509803921569,0.7382352941176471,0.8411764705882353,0.8862745098039215
Micro AVG,0.31210868249277146,0.4757003105545307,0.5913902962236782,0.6799299966767262
