Classes,k = 1 ,k = 2,k = 3,k = 4
above,0.6100230414746544,0.777073732718894,0.8559907834101382,0.8911290322580645
at,0.09193245778611632,0.2551594746716698,0.4915572232645403,0.6022514071294559
behind,0.4515915119363395,0.5974801061007957,0.6823607427055703,0.7473474801061007
below,0.25165562913907286,0.5165562913907285,0.706953642384106,0.8096026490066225
beside,0.07724425887265135,0.21294363256784968,0.35908141962421714,0.5010438413361169
by,0.06439393939393939,0.13257575757575757,0.1893939393939394,0.25
front,0.32169811320754715,0.469811320754717,0.5622641509433962,0.6462264150943396
in,0.74752,0.8624,0.90976,0.9408
left,0.24734982332155478,0.4028268551236749,0.5441696113074205,0.6537102473498233
near,0.12223515715948778,0.3061699650756694,0.4458672875436554,0.5937136204889406
next,0.30187416331994643,0.4979919678714859,0.6532797858099063,0.7670682730923695
on,0.807475317348378,0.9118476727785614,0.9449929478138223,0.9628584861307005
over,0.1189873417721519,0.5443037974683544,0.660759493670886,0.7341772151898734
right,0.12704918032786885,0.22950819672131148,0.3729508196721312,0.46311475409836067
top,0.03076923076923077,0.13333333333333333,0.3230769230769231,0.5230769230769231
under,0.4563297350343474,0.6800785083415113,0.7978410206084396,0.8498527968596663
Micro AVG,0.3017580563039554,0.4706287882808947,0.5937687369518183,0.6834983213260848
