Classes,k = 1 ,k = 2,k = 3,k = 4
above,0.732564841498559,0.8887608069164266,0.9256484149855908,0.9452449567723343
at,0.11632270168855535,0.3789868667917448,0.5422138836772983,0.649155722326454
behind,0.43861977438619776,0.5680159256801592,0.6622428666224287,0.7219641672196416
below,0.1672185430463576,0.4519867549668874,0.6622516556291391,0.7566225165562914
beside,0.081419624217119,0.20041753653444677,0.32150313152400833,0.4697286012526096
by,0.09090909090909091,0.17424242424242425,0.24242424242424243,0.36742424242424243
front,0.24150943396226415,0.3849056603773585,0.4820754716981132,0.5679245283018868
in,0.68128,0.8,0.8704,0.90368
left,0.2695035460992908,0.425531914893617,0.5283687943262412,0.6312056737588653
near,0.1282051282051282,0.2773892773892774,0.4114219114219114,0.5512820512820513
next,0.3092369477911647,0.4966532797858099,0.6238286479250335,0.7182061579651942
on,0.8142487655772396,0.9057136139195862,0.9381612979073595,0.9522689865976958
over,0.07341772151898734,0.569620253164557,0.6987341772151898,0.779746835443038
right,0.12757201646090535,0.2674897119341564,0.42386831275720166,0.51440329218107
top,0.02040816326530612,0.21428571428571427,0.45408163265306123,0.6377551020408163
under,0.6221786064769381,0.8007850834151129,0.8802747791952895,0.9087340529931305
Micro AVG,0.307163431568944,0.48779905151857994,0.6042187012476318,0.6922091804447076
