Classes,k = 1 ,k = 2,k = 3,k = 4
above,0.6877880184331797,0.8254608294930875,0.8853686635944701,0.9124423963133641
at,0.11632270168855535,0.2776735459662289,0.425891181988743,0.5215759849906192
behind,0.48938992042440316,0.623342175066313,0.7161803713527851,0.7785145888594165
below,0.30960264900662254,0.5662251655629139,0.7168874172185431,0.7781456953642384
beside,0.13958333333333334,0.31666666666666665,0.4625,0.5875
by,0.08333333333333333,0.1856060606060606,0.25757575757575757,0.3522727272727273
front,0.3849056603773585,0.530188679245283,0.6311320754716981,0.720754716981132
in,0.728,0.82048,0.86816,0.90464
left,0.15901060070671377,0.23674911660777384,0.3250883392226148,0.4628975265017668
near,0.15734265734265734,0.32517482517482516,0.49533799533799533,0.6317016317016317
next,0.23694779116465864,0.42971887550200805,0.5930388219544847,0.6967871485943775
on,0.6831217677480019,0.8027738598965679,0.8638928067700987,0.891161259990597
over,0.12151898734177215,0.5594936708860759,0.7113924050632912,0.789873417721519
right,0.1598360655737705,0.2336065573770492,0.32786885245901637,0.38524590163934425
top,0.046153846153846156,0.18461538461538463,0.35384615384615387,0.5487179487179488
under,0.4843137254901961,0.6970588235294117,0.7950980392156862,0.8362745098039216
Micro AVG,0.31169819113240016,0.4759271397622281,0.5893286800669587,0.6749065909032876
