Classes,k = 1 ,k = 2,k = 3,k = 4
a_cote_de,0.2062146892655367,0.5282485875706214,0.7627118644067796,0.867231638418079
a_l'exterieur_de,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091
au_dessus_de,0.06451612903225806,0.16129032258064516,0.1935483870967742,0.22580645161290322
au_niveau_de,0.056451612903225805,0.25,0.6491935483870968,0.7661290322580645
aucun,0.0,0.0,0.0,0.0
autour_de,0.0,0.0,0.0,0.1111111111111111
contre,0.056962025316455694,0.2721518987341772,0.4177215189873418,0.5759493670886076
dans,0.2,0.26666666666666666,0.4,0.4666666666666667
derriere,0.3132075471698113,0.5433962264150943,0.6792452830188679,0.7509433962264151
devant,0.3212996389891697,0.5090252707581228,0.6425992779783394,0.7436823104693141
en_face_de,0.014925373134328358,0.13432835820895522,0.2537313432835821,0.373134328358209
le_long_de,0.0,0.05263157894736842,0.05263157894736842,0.10526315789473684
loin_de,0.15463917525773196,0.44329896907216493,0.6288659793814433,0.7731958762886598
par_dela,0.0,0.0,0.1,0.2
pres_de,0.5513866231647635,0.8172920065252854,0.9053833605220228,0.9429037520391517
sous,0.35514018691588783,0.5233644859813084,0.6635514018691588,0.7102803738317757
sur,0.43333333333333335,0.5777777777777777,0.6777777777777778,0.7
Micro AVG,0.16047507849897075,0.3041400729498399,0.41869825956268486,0.49430626783369325
Classes,k = 1 ,k = 2,k = 3,k = 4
a_cote_de,0.20056497175141244,0.5338983050847458,0.7711864406779662,0.8531073446327684
a_l'exterieur_de,0.0,0.0,0.0,0.09090909090909091
au_dessus_de,0.0967741935483871,0.16129032258064516,0.1935483870967742,0.1935483870967742
au_niveau_de,0.08870967741935484,0.2782258064516129,0.5766129032258065,0.7258064516129032
aucun,0.0,0.0,0.0,0.0
autour_de,0.0,0.0,0.1111111111111111,0.2222222222222222
contre,0.10759493670886076,0.34810126582278483,0.47468354430379744,0.6518987341772152
dans,0.13333333333333333,0.26666666666666666,0.4666666666666667,0.4666666666666667
derriere,0.33584905660377357,0.5849056603773585,0.7132075471698113,0.7924528301886793
devant,0.34296028880866425,0.5234657039711191,0.6823104693140795,0.7978339350180506
en_face_de,0.04477611940298507,0.07462686567164178,0.26865671641791045,0.373134328358209
le_long_de,0.0,0.0,0.0,0.05263157894736842
loin_de,0.26804123711340205,0.6391752577319587,0.7422680412371134,0.7835051546391752
par_dela,0.0,0.0,0.0,0.2
pres_de,0.4828711256117455,0.7471451876019576,0.8760195758564437,0.9363784665579119
sous,0.3925233644859813,0.4672897196261682,0.5794392523364486,0.6728971962616822
sur,0.5,0.6888888888888889,0.7333333333333333,0.7555555555555555
Micro AVG,0.1761175473404647,0.31256939120444405,0.42288494051454484,0.5040322319320161
Classes,k = 1 ,k = 2,k = 3,k = 4
a_cote_de,0.0903954802259887,0.4124293785310734,0.652542372881356,0.8220338983050848
a_l'exterieur_de,0.0,0.0,0.0,0.0
au_dessus_de,0.03225806451612903,0.0967741935483871,0.16129032258064516,0.16129032258064516
au_niveau_de,0.036290322580645164,0.25806451612903225,0.5685483870967742,0.7459677419354839
aucun,0.0,0.0,0.0,0.0
autour_de,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
contre,0.0949367088607595,0.310126582278481,0.47468354430379744,0.6392405063291139
dans,0.0,0.0,0.0,0.0
derriere,0.2188679245283019,0.4867924528301887,0.6075471698113207,0.7547169811320755
devant,0.4043321299638989,0.5848375451263538,0.7111913357400722,0.8122743682310469
en_face_de,0.0,0.0,0.014925373134328358,0.08955223880597014
le_long_de,0.0,0.0,0.0,0.0
loin_de,0.28865979381443296,0.5979381443298969,0.7010309278350515,0.7628865979381443
par_dela,0.0,0.0,0.0,0.0
pres_de,0.5905383360522023,0.7911908646003263,0.8939641109298532,0.9559543230016313
sous,0.4485981308411215,0.5794392523364486,0.6635514018691588,0.719626168224299
sur,0.16666666666666666,0.2222222222222222,0.37777777777777777,0.4222222222222222
Micro AVG,0.13950256223824392,0.27489108736857315,0.3623756504290276,0.42465286482582654
Classes,k = 1 ,k = 2,k = 3,k = 4
a_cote_de,0.1694915254237288,0.5112994350282486,0.7796610169491526,0.8700564971751412
a_l'exterieur_de,0.0,0.0,0.0,0.09090909090909091
au_dessus_de,0.03225806451612903,0.0967741935483871,0.1935483870967742,0.22580645161290322
au_niveau_de,0.0967741935483871,0.2862903225806452,0.6411290322580645,0.7782258064516129
aucun,0.0,0.0,0.0,0.2
autour_de,0.0,0.0,0.2222222222222222,0.3333333333333333
contre,0.11392405063291139,0.34810126582278483,0.4430379746835443,0.6139240506329114
dans,0.2,0.26666666666666666,0.3333333333333333,0.4666666666666667
derriere,0.3018867924528302,0.49056603773584906,0.6264150943396226,0.7433962264150943
devant,0.2888086642599278,0.5090252707581228,0.6245487364620939,0.7075812274368231
en_face_de,0.07462686567164178,0.11940298507462686,0.19402985074626866,0.31343283582089554
le_long_de,0.0,0.05263157894736842,0.05263157894736842,0.05263157894736842
loin_de,0.14432989690721648,0.41237113402061853,0.5567010309278351,0.6701030927835051
par_dela,0.0,0.0,0.0,0.0
pres_de,0.5399673735725938,0.7879282218597063,0.8825448613376835,0.9298531810766721
sous,0.40186915887850466,0.514018691588785,0.6355140186915887,0.719626168224299
sur,0.3888888888888889,0.5888888888888889,0.6888888888888889,0.7555555555555555
Micro AVG,0.1619309102795741,0.29317439367768816,0.4043650604049671,0.49830010370834554
Classes,k = 1 ,k = 2,k = 3,k = 4
a_cote_de,0.23163841807909605,0.6129943502824858,0.8305084745762712,0.8813559322033898
a_l'exterieur_de,0.0,0.0,0.09090909090909091,0.18181818181818182
au_dessus_de,0.0967741935483871,0.0967741935483871,0.16129032258064516,0.25806451612903225
au_niveau_de,0.06048387096774194,0.24193548387096775,0.657258064516129,0.8104838709677419
aucun,0.0,0.0,0.0,0.0
autour_de,0.0,0.0,0.0,0.2222222222222222
contre,0.06329113924050633,0.310126582278481,0.4050632911392405,0.5569620253164557
dans,0.13333333333333333,0.26666666666666666,0.4,0.4
derriere,0.2830188679245283,0.4830188679245283,0.6415094339622641,0.7584905660377359
devant,0.2815884476534296,0.4981949458483754,0.628158844765343,0.7509025270758123
en_face_de,0.014925373134328358,0.07462686567164178,0.13432835820895522,0.2537313432835821
le_long_de,0.0,0.05263157894736842,0.05263157894736842,0.05263157894736842
loin_de,0.16494845360824742,0.3917525773195876,0.6082474226804123,0.7525773195876289
par_dela,0.0,0.0,0.0,0.0
pres_de,0.5252854812398042,0.7960848287112561,0.9216965742251223,0.9624796084828712
sous,0.4485981308411215,0.5420560747663551,0.6542056074766355,0.7850467289719626
sur,0.4,0.5777777777777777,0.7111111111111111,0.7666666666666667
Micro AVG,0.159052100562972,0.29086122315375756,0.4057010691234464,0.4937313581006265
