Classes,k = 1 ,k = 2,k = 3,k = 4
a_cote_de,0.18361581920903955,0.4576271186440678,0.6610169491525424,0.788135593220339
a_l'exterieur_de,0.0,0.0,0.0,0.0
au_dessus_de,0.03333333333333333,0.06666666666666667,0.2,0.4666666666666667
au_niveau_de,0.0946969696969697,0.2840909090909091,0.5606060606060606,0.7045454545454546
aucun,0.0,0.0,0.0,0.0
autour_de,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.3333333333333333
contre,0.16025641025641027,0.41025641025641024,0.532051282051282,0.6987179487179487
dans,0.0625,0.0625,0.25,0.375
derriere,0.33584905660377357,0.539622641509434,0.6716981132075471,0.7962264150943397
devant,0.3709090909090909,0.52,0.6545454545454545,0.7818181818181819
en_face_de,0.04477611940298507,0.07462686567164178,0.13432835820895522,0.208955223880597
le_long_de,0.0,0.0,0.0,0.0
loin_de,0.29473684210526313,0.6210526315789474,0.8,0.8526315789473684
par_dela,0.0,0.1,0.2,0.2
pres_de,0.44574290484140233,0.7512520868113522,0.8948247078464107,0.9432387312186978
sous,0.3925233644859813,0.5514018691588785,0.6448598130841121,0.6728971962616822
sur,0.3111111111111111,0.4222222222222222,0.5444444444444444,0.6666666666666666
Micro AVG,0.16712718429802773,0.29249591368950834,0.4165710892047143,0.49934311708066337
