Classes,k = 1 ,k = 2,k = 3,k = 4
a_cote_de,0.4293785310734463,0.632768361581921,0.807909604519774,0.9067796610169492
a_l'exterieur_de,0.0,0.0,0.1,0.6
au_dessus_de,0.03333333333333333,0.16666666666666666,0.23333333333333334,0.4
au_niveau_de,0.06640625,0.3125,0.6796875,0.796875
aucun,0.0,0.0,0.0,0.0
autour_de,0.3333333333333333,0.3333333333333333,0.4444444444444444,0.7777777777777778
contre,0.05732484076433121,0.36942675159235666,0.4840764331210191,0.7388535031847133
dans,0.3125,0.4375,0.5,0.625
derriere,0.38113207547169814,0.5132075471698113,0.6075471698113207,0.7471698113207547
devant,0.3054545454545455,0.5054545454545455,0.5963636363636363,0.7272727272727273
en_face_de,0.08955223880597014,0.208955223880597,0.2835820895522388,0.417910447761194
le_long_de,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.2777777777777778
loin_de,0.2647058823529412,0.6568627450980392,0.7549019607843137,0.8431372549019608
par_dela,0.0,0.06666666666666667,0.2,0.3333333333333333
pres_de,0.35655058043117743,0.6882255389718076,0.8955223880597015,0.9369817578772802
sous,0.5794392523364486,0.6355140186915887,0.6822429906542056,0.7663551401869159
sur,0.6111111111111112,0.6888888888888889,0.7777777777777778,0.8
Micro AVG,0.2312548873870263,0.3721812587710196,0.4864477382731758,0.6291308348477285
