Classes,k = 1 ,k = 2,k = 3,k = 4
a_cote_de,0.22598870056497175,0.5903954802259888,0.7937853107344632,0.8615819209039548
a_l'exterieur_de,0.0,0.09090909090909091,0.45454545454545453,0.5454545454545454
au_dessus_de,0.03225806451612903,0.06451612903225806,0.12903225806451613,0.16129032258064516
au_niveau_de,0.044715447154471545,0.15853658536585366,0.6300813008130082,0.7601626016260162
aucun,0.0,0.0,0.0,0.0
autour_de,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.6666666666666666
contre,0.1111111111111111,0.477124183006536,0.6143790849673203,0.803921568627451
dans,0.3125,0.5,0.6875,0.75
derriere,0.19172932330827067,0.33458646616541354,0.4398496240601504,0.5939849624060151
devant,0.4072727272727273,0.6145454545454545,0.76,0.8618181818181818
en_face_de,0.08955223880597014,0.2537313432835821,0.44776119402985076,0.5970149253731343
le_long_de,0.0,0.05555555555555555,0.05555555555555555,0.2222222222222222
loin_de,0.15463917525773196,0.4948453608247423,0.5876288659793815,0.6494845360824743
par_dela,0.0,0.0,0.08333333333333333,0.16666666666666666
pres_de,0.5375626043405676,0.8363939899833055,0.9165275459098498,0.9549248747913188
sous,0.6635514018691588,0.7289719626168224,0.7570093457943925,0.822429906542056
sur,0.6555555555555556,0.7333333333333333,0.7888888888888889,0.8444444444444444
Micro AVG,0.2276988702471241,0.3882418589126237,0.5183849664319313,0.6036510791885761
