Classes,k = 1 ,k = 2,k = 3,k = 4
a_cote_de,0.16101694915254236,0.4887005649717514,0.6638418079096046,0.788135593220339
a_l'exterieur_de,0.0,0.0,0.4,0.5
au_dessus_de,0.03333333333333333,0.1,0.2,0.3
au_niveau_de,0.04924242424242424,0.15151515151515152,0.5606060606060606,0.6628787878787878
aucun,0.0,0.0,0.2,0.2
autour_de,0.4444444444444444,0.7777777777777778,1.0,1.0
contre,0.22435897435897437,0.6410256410256411,0.75,0.8589743589743589
dans,0.5625,0.6875,0.875,0.875
derriere,0.3584905660377358,0.5509433962264151,0.6452830188679245,0.7811320754716982
devant,0.2545454545454545,0.4763636363636364,0.6,0.7454545454545455
en_face_de,0.13432835820895522,0.208955223880597,0.34328358208955223,0.4626865671641791
le_long_de,0.0,0.0625,0.1875,0.3125
loin_de,0.3157894736842105,0.5894736842105263,0.6421052631578947,0.7473684210526316
par_dela,0.0,0.0,0.3,0.3
pres_de,0.4958263772954925,0.7412353923205343,0.8447412353923205,0.9131886477462438
sous,0.6261682242990654,0.6915887850467289,0.719626168224299,0.7850467289719626
sur,0.6555555555555556,0.8888888888888888,0.9,0.9222222222222223
Micro AVG,0.25385883147989347,0.41508636130750876,0.5783521844851561,0.6561522322445276
