Classes,k = 1 ,k = 2,k = 3,k = 4
a_cote_de,0.4112676056338028,0.7267605633802817,0.8394366197183099,0.9070422535211268
a_l'exterieur_de,0.18181818181818182,0.36363636363636365,0.45454545454545453,0.5454545454545454
au_dessus_de,0.09375,0.1875,0.28125,0.34375
au_niveau_de,0.1,0.352,0.744,0.872
aucun,0.0,0.0,0.0,0.0
autour_de,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.3333333333333333
contre,0.20382165605095542,0.6242038216560509,0.7197452229299363,0.9044585987261147
dans,0.5333333333333333,0.6,0.7333333333333333,0.7333333333333333
derriere,0.26037735849056604,0.4037735849056604,0.5320754716981132,0.6264150943396226
devant,0.2727272727272727,0.37454545454545457,0.4909090909090909,0.6072727272727273
en_face_de,0.07462686567164178,0.19402985074626866,0.3283582089552239,0.5074626865671642
le_long_de,0.0,0.0,0.11764705882352941,0.35294117647058826
loin_de,0.3020833333333333,0.59375,0.65625,0.6979166666666666
par_dela,0.0,0.0,0.09090909090909091,0.18181818181818182
pres_de,0.3158756137479542,0.6006546644844517,0.8036006546644845,0.8952536824877251
sous,0.5794392523364486,0.616822429906542,0.719626168224299,0.7663551401869159
sur,0.4666666666666667,0.7,0.7444444444444445,0.7777777777777778
Micro AVG,0.23635349188425755,0.39241235685849457,0.5052625972052143,0.5913285410562249
